StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q2_3_TEXT,Q3_1,Q3_2,Q3_3,Q3_4,Q4_1,Q4_2,Q4_3,Q4_4,Q5_1,Q13_1,Q13_2,Q13_3,Q13_4,Q15,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q6,Q6_4_TEXT,Q12_1,Q14,Q15,Q16,Q8
2020-10-01 16:58:13,2020-10-01 17:03:27,0,213.147.164.18,100,314,1,2020-10-01 17:03:55,R_YWhkV5BPN8YaTyF,,,,,48.15350341796875,16.385498046875,anonymous,EN,4,,3,4,4,4,2,4,4,4,3,4,5,5,2,40,1,4,1,4,1,2,2,,5,2,2,1,Confirmatory factor analysis and SEM
2020-10-01 17:07:19,2020-10-01 17:10:34,0,212.95.6.125,100,194,1,2020-10-01 17:10:34,R_28B2F2s8NMDg3h2,,,,,48.1875,16.3549957275390625,anonymous,EN,4,,2,2,2,1,1,3,1,1,1,1,2,2,5,10,1,1,1,3,1,1,7,,4,1,2,1,
2020-10-01 17:11:06,2020-10-01 17:17:50,0,62.99.220.102,100,403,1,2020-10-01 17:17:50,R_2rSIE0vKRqu8Z9u,,,,,48.216705322265625,16.399993896484375,anonymous,EN,4,,1,1,2,2,1,1,4,4,1,1,1,1,5,10,1,1,1,4,1,1,7,,4,2,2,1,"I have little knowledge of conducting marketing research, but I had studied neural network during my Bachelor studies and would love to know how that can be useful in marketing research."
2020-10-01 17:15:25,2020-10-01 17:18:01,0,85.125.94.119,100,155,1,2020-10-01 17:18:01,R_1rqYOjStfEnG6el,,,,,48.1967926025390625,16.3191070556640625,anonymous,EN,1,,2,2,2,2,3,3,4,3,2,3,2,2,4,50,2,1,1,1,1,1,1,,4,2,1,1,
2020-10-01 17:24:43,2020-10-01 17:28:54,0,91.141.3.140,100,251,1,2020-10-01 17:28:55,R_1gkjzoU5ccOAPIG,,,,,48.1981964111328125,16.391693115234375,anonymous,EN,4,,2,2,2,1,1,1,2,1,2,2,2,2,4,60,1,3,1,3,1,1,2,,4,1,2,1,
2020-10-01 17:25:48,2020-10-01 17:29:42,0,93.82.41.219,100,234,1,2020-10-01 17:29:42,R_2coAecvXU2WiT33,,,,,48.34759521484375,16.3368988037109375,anonymous,EN,1,,3,3,2,2,4,3,3,2,2,2,2,3,3,55,4,2,1,3,1,1,5,,3,2,1,1,
2020-10-01 17:26:44,2020-10-01 17:30:41,0,80.110.95.192,100,237,1,2020-10-01 17:30:41,R_2V1OZcVNWXecWp4,,,,,48.1875,16.3549957275390625,anonymous,EN,1,,1,2,2,2,1,2,2,1,2,2,2,2,4,2,1,2,1,2,1,1,7,,4,2,1,1,
2020-10-01 17:26:20,2020-10-01 17:30:54,0,178.165.128.224,100,274,1,2020-10-01 17:30:54,R_12gK4TK5tLQKqQM,,,,,48.1875,16.3549957275390625,anonymous,EN,1,,2,2,2,2,4,4,2,2,2,2,3,3,3,5,4,1,1,5,1,1,2,,5,2,1,1,
2020-10-01 17:28:06,2020-10-01 17:32:20,0,213.225.11.123,100,253,1,2020-10-01 17:32:20,R_1o5azaO6e1ufwYx,,,,,48.3000030517578125,16.350006103515625,anonymous,EN,1,,3,3,3,3,4,4,4,3,3,4,3,3,2,75,3,3,1,2,1,1,2,,5,2,1,2,
2020-10-01 17:27:42,2020-10-01 17:34:18,0,65.87.161.13,100,395,1,2020-10-01 17:34:18,R_XqeeAtbpNDwuoBH,,,,,35.91510009765625,-79.097198486328125,anonymous,EN,4,,1,1,1,1,1,1,2,1,2,2,2,2,4,10,2,1,1,2,1,1,5,,5,2,2,2,"I am relatively unfamiliar with marketing research best practices, so I am sure your course will provide great foundational knowledge. I look forward to learning the scope of designing and analyzing marketing research studies.   It would also be interesting to learn what is important from an ethical standpoint when conducting marketing research."
2020-10-01 17:32:13,2020-10-01 17:35:59,0,188.22.59.149,100,226,1,2020-10-01 17:35:59,R_2rw4bCSatPmukwl,,,,,48.2154998779296875,16.3074951171875,anonymous,EN,4,,3,2,2,1,3,2,2,3,1,1,2,2,4,20,3,1,1,3,1,1,1,,3,1,1,2,
2020-10-01 17:31:59,2020-10-01 17:36:35,0,62.141.118.214,100,276,1,2020-10-01 17:36:35,R_AjJB6bqagSgSmiJ,,,,,60.0153045654296875,30.67559814453125,anonymous,EN,1,,2,2,2,1,3,4,3,2,2,2,2,1,4,45,2,1,2,2,1,1,1,,4,2,2,2,
2020-10-01 17:27:03,2020-10-01 17:38:12,0,80.110.93.87,100,668,1,2020-10-01 17:38:12,R_21bKTEUtVS8ZdUh,,,,,48.1981964111328125,16.391693115234375,anonymous,EN,1,,1,1,1,1,1,1,1,1,2,1,1,3,4,10,1,2,1,2,1,1,5,,5,2,1,1,I am interested in learning to work with R and MS Excel and all kinds of research methods as much as possible. Python would be good too but I think I could also manage on my own if I have previous knowledge of working with a similar program. I would highly appreciate any additional material that I could also use to expand my knowledge and skills once the course is over.
2020-10-01 17:30:23,2020-10-01 17:38:13,0,77.111.244.209,100,470,1,2020-10-01 17:38:14,R_3M0bonE0r47L6xT,,,,,50.4521942138671875,30.5287017822265625,anonymous,EN,4,,2,2,3,1,3,2,2,1,2,1,1,1,5,25,1,1,1,3,1,2,4,python is also widely used free software. and with librariries I feel like it gives more freedom.,5,1,2,2,"I would like to improve myself in the field as much as I can. The data is now more important than ever not only in just marketing but also in medical, defence, politics and in what you can name. The clear and accurate data is the one of the most powerful things in the world. I am highly motivated to expand my knowledge in it even beyond this course."
2020-10-01 17:33:05,2020-10-01 17:39:19,0,43.245.9.17,100,374,1,2020-10-01 17:39:20,R_3CDDlZW0ll7f97E,,,,,30,70,anonymous,EN,1,,2,2,2,2,3,3,2,2,2,2,2,2,4,40,1,1,1,3,1,1,2,,5,1,2,2,I think taking what we learn in class and practicing real world situations in where it can be used is something very important for a person to do well in their future job.
2020-10-01 17:37:14,2020-10-01 17:40:05,0,213.147.166.187,100,171,1,2020-10-01 17:40:06,R_aWRCWpgiwPJxqrn,,,,,48.2154998779296875,16.3074951171875,anonymous,EN,4,,2,1,1,1,2,2,2,2,1,2,1,1,4,30,2,1,1,2,1,1,7,,4,2,1,1,
2020-10-01 17:39:35,2020-10-01 17:43:42,0,46.125.249.45,100,247,1,2020-10-01 17:43:43,R_PAIJiwhexUtnsrv,,,,,48.216705322265625,16.399993896484375,anonymous,EN,1,,2,2,2,2,2,2,2,2,1,2,2,3,4,20,1,1,1,3,1,1,2,,3,2,2,2,-
2020-10-01 17:41:09,2020-10-01 17:43:45,0,80.121.151.125,100,156,1,2020-10-01 17:43:46,R_3j6YhL2dOqIEt5M,,,,,48.161102294921875,16.4452056884765625,anonymous,EN,4,,2,3,1,1,1,1,1,1,1,2,2,2,3,20,1,1,1,2,1,1,5,,4,2,2,2,
2020-10-01 17:41:25,2020-10-01 17:44:12,0,80.110.92.95,100,167,1,2020-10-01 17:44:12,R_PLJVDIzZJRiV9EB,,,,,48.15350341796875,16.385498046875,anonymous,EN,1,,1,1,1,1,2,1,1,1,1,1,1,1,5,10,1,1,1,4,1,1,7,,3,2,2,2,
2020-10-01 17:45:50,2020-10-01 17:49:34,0,213.147.166.64,100,223,1,2020-10-01 17:49:34,R_28UthMxl15sMAbB,,,,,48.2154998779296875,16.3074951171875,anonymous,EN,1,,2,2,2,2,3,3,2,2,2,1,2,2,4,40,3,1,1,3,1,1,7,,5,2,1,2,
2020-10-01 17:53:57,2020-10-01 17:57:38,0,80.110.107.70,100,221,1,2020-10-01 17:57:38,R_xsWSlVe0djuJ4gF,,,,,48.1436004638671875,16.294097900390625,anonymous,EN,1,,2,2,2,2,3,3,3,3,2,2,2,1,4,40,2,1,1,3,1,1,7,,4,2,1,2,
2020-10-01 17:56:15,2020-10-01 18:03:09,0,62.99.164.14,100,414,1,2020-10-01 18:03:10,R_1pM2HCaJQSCeG5N,,,,,47.0832977294921875,15.5666961669921875,anonymous,EN,"1,2",,4,4,4,4,4,4,4,4,4,4,3,3,3,80,5,1,1,4,1,1,1,,3,2,1,2,"Regression, working with paired & unpaired samples"
2020-10-01 17:57:03,2020-10-01 18:05:25,0,80.110.105.206,100,501,1,2020-10-01 18:05:25,R_2sd2fY7GqgGugkB,,,,,48.15350341796875,16.385498046875,anonymous,EN,1,,5,5,5,5,5,5,5,5,5,5,5,5,1,85,4,4,1,4,1,1,2,,5,1,1,2,Data Visualization
2020-10-01 17:44:30,2020-10-01 18:06:14,0,80.110.72.175,100,1303,1,2020-10-01 18:06:15,R_12nKIatvOqp5Fsa,,,,,48.216705322265625,16.399993896484375,anonymous,EN,1,,1,1,1,1,1,1,1,1,1,1,1,3,5,0,1,1,1,2,1,1,5,,4,2,1,1,
2020-10-01 18:11:02,2020-10-01 18:14:47,0,80.110.101.211,100,224,1,2020-10-01 18:14:47,R_RVol3SzUmeYtbI5,,,,,48.2169036865234375,16.49969482421875,anonymous,EN,1,,3,2,2,1,3,2,2,1,3,3,2,2,4,45,3,1,1,2,1,1,1,,3,2,1,1,
2020-10-01 18:18:23,2020-10-01 18:20:25,0,80.110.120.49,100,121,1,2020-10-01 18:20:25,R_1NzB8ZjnZthpw40,,,,,48.3000030517578125,16.350006103515625,anonymous,EN,4,,3,3,3,2,4,4,4,3,3,3,4,4,2,65,1,3,1,3,1,2,2,,5,1,1,2,
2020-10-01 18:19:04,2020-10-01 18:26:22,0,132.154.179.223,100,437,1,2020-10-01 18:26:22,R_2qlTFHiw8C3XqvA,,,,,31.3256072998046875,75.579193115234375,anonymous,EN,4,,1,1,1,1,1,1,1,1,1,1,1,1,5,20,1,1,1,3,1,1,7,,5,2,2,2,"Not a particular method but, I  would really like to learn how AI will be used in the near future for analyzing the data and conducting market research and perhaps learn about AI tools as well. "
2020-10-01 18:21:47,2020-10-01 18:26:56,0,178.74.87.6,100,309,1,2020-10-01 18:26:57,R_2dtFHDls9FCCOVr,,,,,55,73.399993896484375,anonymous,EN,1,,2,2,2,2,3,3,5,3,2,4,3,2,2,30,1,1,1,4,1,1,7,,5,2,2,2,"Everything, I love analytics :)"
2020-10-01 18:49:11,2020-10-01 18:57:41,0,193.154.113.73,100,510,1,2020-10-01 18:57:41,R_TioWS2wwdnRVLUZ,,,,,48.20770263671875,16.1753997802734375,anonymous,EN,1,,3,3,3,1,4,4,4,1,3,3,4,4,2,70,4,1,1,3,1,1,1,,5,1,1,2,"Factor analysis, because I‘ve never done that before but it appears a lot in papers."
2020-10-01 19:51:38,2020-10-01 19:55:25,0,89.144.220.83,100,227,1,2020-10-01 19:55:26,R_26bvw56C76zL1e2,,,,,48.2169036865234375,16.49969482421875,anonymous,EN,4,,2,3,1,1,2,2,2,2,2,2,2,2,4,20,1,1,1,2,1,1,5,,2,1,1,1,
2020-10-01 20:04:31,2020-10-01 20:08:06,0,212.124.153.234,100,214,1,2020-10-01 20:08:06,R_2wo7z1AaaXNokIS,,,,,48.216705322265625,16.399993896484375,anonymous,EN,1,,4,3,2,2,5,3,4,2,3,2,4,4,4,65,4,1,1,3,1,2,1,,4,1,2,2,
2020-10-01 20:18:50,2020-10-01 20:24:23,0,103.41.24.226,100,332,1,2020-10-01 20:24:23,R_31XGBhiUtGKI1YL,,,,,31.2245025634765625,75.773895263671875,anonymous,EN,2,,1,2,2,1,1,3,3,2,2,2,1,1,4,35,1,1,1,2,1,1,5,,4,1,2,2,Through this survey i mainly realised there is some knowledge gap between what i have studied so far and what we are going to do for masters. It does make me feel interested about data analysis since i think its a fieldl i could work on as a whole and improve upon in near future
2020-10-01 20:34:41,2020-10-01 20:39:28,0,213.225.14.44,100,287,1,2020-10-01 20:39:29,R_1IGBFNBtwVpqAF8,,,,,48.233306884765625,16.350006103515625,anonymous,EN,1,,2,2,2,2,3,3,2,2,2,1,4,2,4,20,3,1,1,2,1,1,6,,5,2,1,2,"Big Data, Microtargeting"
2020-10-01 20:41:55,2020-10-01 20:44:59,0,89.144.221.174,100,184,1,2020-10-01 20:45:00,R_2ciQNZeVWqFVPi7,,,,,48.1967926025390625,16.3191070556640625,anonymous,EN,1,,3,3,2,2,4,3,4,2,3,4,2,2,4,40,3,2,1,4,1,1,1,,4,2,1,1,
2020-10-01 20:52:01,2020-10-01 20:54:55,0,213.142.96.49,100,173,1,2020-10-01 20:54:55,R_DnI7vqb1ukfXsyJ,,,,,48.1436004638671875,16.294097900390625,anonymous,EN,1,,1,2,2,2,1,2,2,2,2,3,2,1,4,30,1,1,1,2,1,1,5,,3,2,1,2,
2020-10-01 20:56:28,2020-10-01 20:59:28,0,77.77.179.18,100,180,1,2020-10-01 20:59:28,R_2tsMjCyMMlbqw5k,,,,,48.19329833984375,16.3726959228515625,anonymous,EN,1,,4,3,4,4,5,5,5,5,4,4,4,4,2,75,3,1,1,3,1,2,6,,5,1,2,1,
2020-10-01 21:52:35,2020-10-01 21:56:31,0,78.175.227.34,100,235,1,2020-10-01 21:56:32,R_1FQkSy5GtmoVkDw,,,,,39.9253997802734375,32.84100341796875,anonymous,EN,1,,2,2,2,2,4,4,4,2,3,3,2,2,4,49,2,1,1,4,1,1,1,,4,1,2,2,Other research platforms than SPSS may be helpful for me.
2020-10-01 22:13:02,2020-10-01 22:15:14,0,213.164.24.3,100,132,1,2020-10-01 22:15:15,R_2cBJDvR4YAb1RzV,,,,,48.149993896484375,11.5832977294921875,anonymous,EN,4,,2,2,2,2,4,4,3,3,1,2,2,2,4,10,1,2,1,4,1,1,7,,5,2,2,1,
2020-10-01 22:41:45,2020-10-01 22:46:36,0,80.110.77.93,100,291,1,2020-10-01 22:46:36,R_2azPdoisf4sCWou,,,,,48.3000030517578125,16.350006103515625,anonymous,EN,1,,4,4,4,3,4,4,4,4,3,3,2,3,3,60,4,4,1,4,1,1,1,,4,2,1,2,
2020-10-01 23:36:09,2020-10-01 23:39:38,0,81.223.119.92,100,208,1,2020-10-01 23:39:38,R_6SAUWe6kEIp1D7r,,,,,48.216705322265625,16.399993896484375,anonymous,EN,1,,3,4,2,1,4,4,3,1,3,3,2,4,2,55,3,1,1,2,1,1,7,,4,2,1,2,
2020-10-02 08:29:24,2020-10-02 08:33:23,0,80.110.105.124,100,238,1,2020-10-02 08:33:23,R_1E0QShvBcFXev7H,,,,,47.0832977294921875,15.5666961669921875,anonymous,EN,2,,2,2,2,2,2,2,5,2,2,2,2,2,4,15,1,2,1,4,1,1,2,,5,1,1,2,Conjoint analysis
2020-10-02 09:17:46,2020-10-02 09:32:11,0,212.95.5.227,100,864,1,2020-10-02 09:32:11,R_3qwmc9QiPFqyWaP,,,,,48.20489501953125,16.3661956787109375,anonymous,EN,1,,2,4,3,2,3,3,3,3,2,4,3,3,1,40,1,2,2,3,1,1,5,,4,1,2,1,
2020-10-02 09:35:27,2020-10-02 09:39:07,0,80.110.77.207,100,220,1,2020-10-02 09:39:08,R_3MhfWet7e14iiy6,,,,,48.3000030517578125,16.350006103515625,anonymous,EN,4,,2,1,1,1,1,1,1,1,1,1,1,1,5,0,1,1,1,4,1,1,5,,4,2,2,2,
2020-10-02 13:32:15,2020-10-02 13:34:27,0,78.104.186.213,100,132,1,2020-10-02 13:34:27,R_cBy07zWoCW2dpxn,,,,,48.216705322265625,16.399993896484375,anonymous,EN,4,,1,1,1,2,2,2,1,3,1,1,2,1,4,5,1,1,1,2,1,1,7,,4,2,2,2,
2020-10-04 06:31:28,2020-10-04 06:34:50,0,103.140.83.14,100,202,1,2020-10-04 06:34:51,R_2hjUqoVcje2QNhf,,,,,23.751800537109375,90.4254150390625,anonymous,EN,1,,2,2,2,2,2,2,2,2,2,3,2,1,5,30,2,1,1,5,1,1,7,,5,1,2,2,It would be really helpful if we cover the basics first before diving into more complicated contents.
2020-10-01 17:43:01,2020-10-01 17:43:58,0,78.104.186.213,21,57,0,2020-10-08 17:44:19,R_2EyFiXOrSG2gMQV,,,,,,,anonymous,EN,4,,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
2020-10-01 23:20:04,2020-10-01 23:20:15,0,212.95.6.125,7,11,0,2020-10-08 23:20:16,R_6XqcimJZDwwNKVP,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
